   193.12	 17 01 01.46	-30 08 52.57	     2.40	     1.17	    147.2	     2.21	0.000e+00	0.000e+00	1.749e-16	3.963e-16
   193.19	 17 00 58.23	-30 05 53.90	     2.02	     1.13	      0.2	     2.94	6.652e-15	6.914e-15	1.521e-16	0.000e+00
   193.38	 17 01 22.43	-30 04 19.18	     0.82	     0.79	     94.8	     2.43	4.352e-16	0.000e+00	1.531e-16	2.815e-16
   197.09	 17 01 05.37	-30 03 51.22	     1.89	     1.15	    175.5	     2.37	1.021e-15	7.164e-16	2.494e-16	1.453e-16
   198.47	 17 01 07.44	-30 03 37.69	     1.17	     0.89	     14.6	     2.00	6.354e-16	4.733e-16	1.655e-16	9.226e-17
   200.51	 17 01 11.97	-30 10 04.84	     2.06	     1.40	    142.7	     3.24	4.911e-16	0.000e+00	    0     	8.539e-16
   205.41	 17 01 27.45	-30 07 55.68	     1.37	     1.37	      0.0	     2.42	3.819e-15	3.717e-15	2.104e-16	0.000e+00
   209.32	 17 01 11.56	-30 10 13.37	     1.38	     1.38	      0.0	     3.64	3.722e-15	2.668e-15	5.628e-16	6.178e-16
   219.34	 17 01 26.84	-30 08 42.73	     2.11	     1.31	    123.2	     2.54	2.381e-15	2.432e-15	0.000e+00	0.000e+00
   225.78	 17 01 03.48	-30 03 32.29	     1.14	     0.91	      6.2	     2.78	1.167e-15	6.505e-16	4.926e-16	9.314e-17
   229.64	 17 01 24.64	-30 09 32.92	     1.71	     1.08	    128.0	     3.88	0.000e+00	0.000e+00	8.241e-16	1.126e-15
   230.39	 17 01 23.73	-30 03 45.02	     0.84	     0.77	     77.1	     2.70	6.976e-16	0.000e+00	3.221e-16	1.860e-16
   232.01	 17 01 28.71	-30 05 03.72	     0.77	     0.74	     95.3	     6.11	1.062e-14	9.025e-15	1.505e-15	5.441e-16
